,time,voltage
106,2020-05-29 14:11:18.163100,-0.1751541999999997
107,2020-05-29 14:11:18.163700,0.3488436
108,2020-05-29 14:11:18.164300,0.8012263
109,2020-05-29 14:11:18.165000,1.12347935
110,2020-05-29 14:11:18.165600,1.26059045
111,2020-05-29 14:11:18.166300,1.2014961
112,2020-05-29 14:11:18.167000,0.9374599499999999
113,2020-05-29 14:11:18.167600,0.4892356
114,2020-05-29 14:11:18.168300,-0.018662900000000704
115,2020-05-29 14:11:18.168900,-0.41908530000000077
116,2020-05-29 14:11:18.169500,-0.7552249500000006
117,2020-05-29 14:11:18.170200,-0.9729088499999996
118,2020-05-29 14:11:18.170800,-1.0392135499999995
119,2020-05-29 14:11:18.171400,-0.9425796000000002
120,2020-05-29 14:11:18.172200,-0.6979617999999999
121,2020-05-29 14:11:18.172900,-0.28422504999999987
122,2020-05-29 14:11:18.173500,0.15279075
123,2020-05-29 14:11:18.174200,0.55161085
124,2020-05-29 14:11:18.174900,0.8809598
125,2020-05-29 14:11:18.175500,1.02695985
126,2020-05-29 14:11:18.176200,1.0073126
127,2020-05-29 14:11:18.176800,0.80431645
128,2020-05-29 14:11:18.177500,0.4872518
129,2020-05-29 14:11:18.178100,0.0898051
130,2020-05-29 14:11:18.178700,-0.3142872499999996
131,2020-05-29 14:11:18.179400,-0.6744232500000003
132,2020-05-29 14:11:18.180000,-0.9262514
133,2020-05-29 14:11:18.180600,-1.034444800000001
134,2020-05-29 14:11:18.181300,-0.9838197500000003
135,2020-05-29 14:11:18.181900,-0.7764745000000008
136,2020-05-29 14:11:18.182600,-0.450292000000001
137,2020-05-29 14:11:18.183300,-0.016221299999999772
138,2020-05-29 14:11:18.183900,0.40221545
139,2020-05-29 14:11:18.184600,0.76036765
140,2020-05-29 14:11:18.185200,0.9769452
141,2020-05-29 14:11:18.185900,1.03138525
142,2020-05-29 14:11:18.186500,0.9162485499999999
143,2020-05-29 14:11:18.187100,0.6602620499999999
144,2020-05-29 14:11:18.187800,0.2964255
145,2020-05-29 14:11:18.188400,-0.10492005000000049
146,2020-05-29 14:11:18.189000,-0.4961864499999997
147,2020-05-29 14:11:18.189700,-0.8107331999999996
148,2020-05-29 14:11:18.190400,-1.0065571500000008
149,2020-05-29 14:11:18.191000,-1.0252506500000003
150,2020-05-29 14:11:18.191600,-0.879861
151,2020-05-29 14:11:18.192400,-0.5957197999999995
152,2020-05-29 14:11:18.193000,-0.16328955
153,2020-05-29 14:11:18.193700,0.26022115
154,2020-05-29 14:11:18.194400,0.63836395
155,2020-05-29 14:11:18.195100,0.9318519
156,2020-05-29 14:11:18.195700,1.03458985
157,2020-05-29 14:11:18.196400,0.9605407
158,2020-05-29 14:11:18.197000,0.7317933
159,2020-05-29 14:11:18.197600,0.39557735
160,2020-05-29 14:11:18.198200,-0.006760100000001046
161,2020-05-29 14:11:18.199000,-0.3952796999999997
162,2020-05-29 14:11:18.199600,-0.7770849000000002
163,2020-05-29 14:11:18.200300,-0.9914116000000011
164,2020-05-29 14:11:18.200900,-1.0320032000000001
165,2020-05-29 14:11:18.201500,-0.9129752
166,2020-05-29 14:11:18.202200,-0.6520291999999994
167,2020-05-29 14:11:18.202900,-0.23714795000000066
168,2020-05-29 14:11:18.203600,0.20024935
169,2020-05-29 14:11:18.204200,0.5791933
170,2020-05-29 14:11:18.204800,0.8679506499999999
171,2020-05-29 14:11:18.205500,1.0179946
172,2020-05-29 14:11:18.206100,1.0083045
173,2020-05-29 14:11:18.206700,0.848456
174,2020-05-29 14:11:18.207300,0.54932185
175,2020-05-29 14:11:18.208000,0.16538025
176,2020-05-29 14:11:18.208600,-0.24306119999999964
177,2020-05-29 14:11:18.209200,-0.610827200000001
178,2020-05-29 14:11:18.209900,-0.8896274000000002
179,2020-05-29 14:11:18.210500,-1.0258991999999996
180,2020-05-29 14:11:18.211100,-1.0089606
181,2020-05-29 14:11:18.211800,-0.8366370500000002
182,2020-05-29 14:11:18.212500,-0.5272787000000001
183,2020-05-29 14:11:18.213100,-0.10457670000000086
184,2020-05-29 14:11:18.213700,0.31290629999999997
185,2020-05-29 14:11:18.214600,0.6786885
186,2020-05-29 14:11:18.215300,0.98598675
187,2020-05-29 14:11:18.216000,1.02535755
188,2020-05-29 14:11:18.216600,0.8862245
189,2020-05-29 14:11:18.217200,0.60288445
190,2020-05-29 14:11:18.217900,0.2317231
191,2020-05-29 14:11:18.218500,-0.21990414999999963
192,2020-05-29 14:11:18.219100,-0.6810613500000002
193,2020-05-29 14:11:18.219800,-1.0422273999999998
194,2020-05-29 14:11:18.220400,-1.2408362999999998
195,2020-05-29 14:11:18.221000,-1.2440409
196,2020-05-29 14:11:18.221700,-1.0588607999999997
197,2020-05-29 14:11:18.222400,-0.7056299500000005
198,2020-05-29 14:11:18.223100,-0.16183984999999979
199,2020-05-29 14:11:18.223700,0.36715559999999997
200,2020-05-29 14:11:18.224400,0.82354405
201,2020-05-29 14:11:18.225000,1.1438896
202,2020-05-29 14:11:18.225700,1.2586829499999999
203,2020-05-29 14:11:18.226300,1.17879685
204,2020-05-29 14:11:18.227000,0.89580015
205,2020-05-29 14:11:18.227600,0.48400905
206,2020-05-29 14:11:18.228300,-0.00553930000000058
207,2020-05-29 14:11:18.228900,-0.49855175000000074
208,2020-05-29 14:11:18.229500,-0.9158746000000004
209,2020-05-29 14:11:18.230200,-1.1892193500000001
210,2020-05-29 14:11:18.230800,-1.267808350000001
211,2020-05-29 14:11:18.231500,-1.146949150000001
212,2020-05-29 14:11:18.232600,-0.8290451999999995
213,2020-05-29 14:11:18.233300,-0.005615600000000498
214,2020-05-29 14:11:18.233900,0.5400514
215,2020-05-29 14:11:18.234700,0.9428390999999999
216,2020-05-29 14:11:18.235400,1.2164509
217,2020-05-29 14:11:18.236200,1.2402564999999999
218,2020-05-29 14:11:18.237000,0.9933115499999999
219,2020-05-29 14:11:18.237700,0.47096175
220,2020-05-29 14:11:18.238400,-0.07302665000000097
221,2020-05-29 14:11:18.239100,-0.5807649999999995
222,2020-05-29 14:11:18.239700,-0.9996138499999994
223,2020-05-29 14:11:18.240400,-1.2263392999999994
224,2020-05-29 14:11:18.241200,-1.2516327500000006
225,2020-05-29 14:11:18.242300,-0.9773342500000002
226,2020-05-29 14:11:18.243100,-0.23363815000000088
227,2020-05-29 14:11:18.243800,0.35414645
228,2020-05-29 14:11:18.244500,0.8340352999999999
229,2020-05-29 14:11:18.245200,1.16712295
230,2020-05-29 14:11:18.245900,1.2623834999999999
231,2020-05-29 14:11:18.246500,1.13202495
232,2020-05-29 14:11:18.247200,0.8027523
233,2020-05-29 14:11:18.247800,0.3406032
234,2020-05-29 14:11:18.248400,-0.1538283499999995
235,2020-05-29 14:11:18.249200,-0.6336027499999997
236,2020-05-29 14:11:18.249800,-1.0513834000000006
237,2020-05-29 14:11:18.250800,-1.2502975000000003
238,2020-05-29 14:11:18.251600,-1.1507641500000005
239,2020-05-29 14:11:18.253500,-0.7372563000000003
240,2020-05-29 14:11:18.254100,0.6330610999999999
241,2020-05-29 14:11:18.254800,1.03100375
242,2020-05-29 14:11:18.256100,1.2378912
243,2020-05-29 14:11:18.256800,1.0549238
244,2020-05-29 14:11:18.257400,0.64668065
245,2020-05-29 14:11:18.258000,0.15645314999999999
246,2020-05-29 14:11:18.258700,-0.34648585000000054
247,2020-05-29 14:11:18.259300,-0.8097031500000007
248,2020-05-29 14:11:18.260000,-1.1252799499999995
249,2020-05-29 14:11:18.260600,-1.2648326500000007
250,2020-05-29 14:11:18.261200,-1.2052042000000007
251,2020-05-29 14:11:18.261900,-0.9574962500000002
252,2020-05-29 14:11:18.262600,-0.5371977000000001
